name,source,source_url,revision,license,verbatim_terms_path,retrieved_utc,training_use,evaluation_use,redistribution_derivatives_checkpoints,local_path,checksum,blocker,notes
"Qwen2.5-VL-3B-Instruct","ModelScope artifact; Hugging Face license source","https://huggingface.co/Qwen/Qwen2.5-VL-3B-Instruct","66285546d2b821cf421d4f5eb2576359d3770cd3","Qwen Research License Agreement","reports/license_terms/qwen25vl3b_LICENSE.txt","2026-07-10","allowed for noncommercial research only","allowed for noncommercial evaluation only","conditional under Sections 3 and 4(b); retain agreement/notice/attribution and Built with Qwen wording","artifacts/models/Qwen/Qwen2.5-VL-3B-Instruct","84c656fb6d6a5f4ef3ccbf47c3880c3a3d22c63eb8736a88fa7a0ddb542e3568","","local LICENSE is the controlling verbatim term"
"Qwen2.5-VL-7B-Instruct","ModelScope artifact; Hugging Face model card","https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct","cc594898137f460bfe9f0759e9844b3ce807cfb5","Apache-2.0","reports/license_terms/qwen25vl7b_README.md","2026-07-10","allowed","allowed","allowed subject to Apache-2.0 notice/license obligations","artifacts/models/Qwen/Qwen2.5-VL-7B-Instruct","82ef08f2f46f6d47aa2d3d2c2ae9b015f373be19c0a43efe81cd6f9c522d1369","","official card frontmatter declares apache-2.0"
"Geometry3K","Hugging Face conversion of InterGPS","https://huggingface.co/datasets/hiyouga/geometry3k","fd21e533e1e50d0662a2bf7b223e60511bd5f8b7","MIT","reports/license_terms/geometry3k_README.md","2026-07-10","allowed by repository declaration","allowed","MIT declaration permits derivatives; audit upstream InterGPS image provenance before mirroring","artifacts/hf_home/hub/datasets--hiyouga--geometry3k","ef1654216cf4b0e111fa78d3535478fca73b5b76aeb82be032b80803816c2e37","","card identifies conversion source and declares mit"
"ViRL39K","Hugging Face","https://huggingface.co/datasets/TIGER-Lab/ViRL39K","812ec617dea4bc8a4e751663b88e4ebb7de4d00e","MIT","reports/license_terms/virl39k_README.md","2026-07-10","license allows but prompt2 phase prohibits training","allowed","do not mirror bundled images until component-source terms are reviewed","data/virl39k","ea1655368fd3774d37baf54c65aef345b0766f4c80d6aeac91a311fa7e4fba92","","full loader passes with zero missing images"
"MMK12","Hugging Face; authoritative MM-Eureka repository","https://huggingface.co/datasets/FanqingM/MMK12","372a609268ea79b5e78d90ab173e02c37b486163","Apache-2.0","reports/license_terms/mmk12_LICENSE.txt; reports/license_terms/mmk12_README.md","2026-07-10","allowed","allowed","allowed under Apache-2.0; audit real-world image provenance before public mirroring","data/mmk12","cac62c4e3e3e059a8d5ef7bed33d5877b7307a45836c0ada2aaa7b299092a0b9","","ModelScope mirror not found; policy-compliant HF fallback completed; 0.0% missing images"
"COCO","official","https://cocodataset.org/#termsofuse","pending","pending provenance review","pending","2026-07-10","pending","pending","per-image rights and terms require review","","","official terms not yet preserved","not used in current runs"
"VisMin","Hugging Face","https://huggingface.co/datasets/mair-lab/vismin","pending","pending source-image review","pending","2026-07-10","pending","pending","depends on source-image terms","","","bulk acquisition intentionally not started","not used in current runs"
"VQAv2","official","https://visualqa.org/terms.html","pending","pending COCO-dependent review","pending","2026-07-10","pending","pending","question annotations and COCO images have separate terms","","","official terms not yet preserved","not used in current runs"
"MathVerse","ModelScope","https://www.modelscope.cn/datasets/evalscope/MathVerse","5fcb08cb5f640b69d9fb23228b4767ec1a6807d2","MIT","reports/license_terms/mathverse_README.md","2026-07-11","allowed by repository declaration","allowed","code and annotations allowed under MIT; review embedded source-image provenance before public mirroring","data/modelscope/MathVerse","23bf4dccf89ab3627e383666b537db760386fbc5cfd46ea0e2556031dc6c577d","","ModelScope direct checkout; 3,940 visual rows and 1,959 unique images adapted locally"
"MMMU","ModelScope with four-file Hugging Face integrity repair","https://www.modelscope.cn/datasets/AI-ModelScope/MMMU; https://huggingface.co/datasets/MMMU/MMMU","aea177165b56916b6d3528491599aa280149b6d3; 98e6ac0cb9b7b2cd2c991b85a50762edc4aedc68","Apache-2.0","reports/license_terms/mmmu_README.md","2026-07-11","allowed","allowed","allowed under Apache-2.0 for repository material; review third-party benchmark images before public mirroring","data/modelscope/MMMU","5fd612d784aea95463e132f4303252b8ed2256abce5bf77fad4eb7710b1c2a10","","ModelScope first; four mirror responses failed OID checks and were replaced only from exact hash-matching official HF objects"
